salesheader_key,sales_order_id,customer_key,territory_key,salesperson_key,shipmethod_key,order_date_key,ship_date_key,due_date_key,subtotal,tax_amount,freight,total_due,days_to_ship,online_order_flag,order_number
24,43682,4424,2,2,5,20110531,20110607,20110612,3875.7229,371.8002,116.1876,4363.7107,7,false,SO43682
25,43683,4168,1,10,5,20110531,20110607,20110612,42813.4333,4107.1489,1283.484,48204.0662,7,false,SO43683
26,43684,7906,5,6,5,20110531,20110607,20110612,5596.4705,537.2612,167.8941,6301.6258,7,false,SO43684
27,43685,16776,5,6,5,20110531,20110607,20110612,2736.5678,263.201,82.2503,3082.0191,7,false,SO43685
28,43686,1901,1,10,5,20110531,20110607,20110612,3463.2998,332.4768,103.899,3899.6756,7,false,SO43686
29,43687,1906,2,2,5,20110531,20110607,20110612,1258.3767,120.8042,37.7513,1416.9322,7,false,SO43687
30,43688,3892,2,2,5,20110531,20110607,20110612,12718.0844,1222.8838,382.1512,14323.1194,7,false,SO43688
31,43689,2400,4,4,5,20110531,20110607,20110612,33997.3702,3271.4942,1022.3419,38291.2063,7,false,SO43689
32,43690,1062,3,2,5,20110531,20110607,20110612,1297.5901,124.2027,38.8133,1460.6061,7,false,SO43690
33,43691,1522,4,4,5,20110531,20110607,20110612,874.794,83.9802,26.2438,985.018,7,false,SO43691
34,43692,9763,4,8,5,20110531,20110607,20110612,38510.8973,3696.3979,1155.1244,43362.4196,7,false,SO43692
35,43693,18,5,2,5,20110531,20110607,20110612,20541.4072,1969.5564,615.4864,23126.45,7,false,SO43693
36,43694,1278,5,6,5,20110531,20110607,20110612,20645.634,1978.3257,618.2268,23242.1865,7,false,SO43694
37,43695,8696,5,6,5,20110531,20110607,20110612,39373.781,3787.4632,1183.5823,44344.8265,7,false,SO43695
38,43696,6541,5,6,5,20110531,20110607,20110612,419.4589,40.2681,12.5838,472.3108,7,false,SO43696
39,43697,17487,6,,1,20110531,20110607,20110612,3578.27,286.2616,89.4568,3953.9884,7,true,SO43697
40,43698,9723,7,,1,20110531,20110607,20110612,3399.99,271.9992,84.9998,3756.989,7,true,SO43698
41,43699,17990,1,,1,20110531,20110607,20110612,3399.99,271.9992,84.9998,3756.989,7,true,SO43699
42,43700,12131,4,,1,20110531,20110607,20110612,699.0982,55.9279,17.4775,772.5036,7,true,SO43700
43,43701,19056,9,,1,20110531,20110607,20110612,3399.99,271.9992,84.9998,3756.989,7,true,SO43701
44,43702,531,4,,1,20110601,20110608,20110613,3578.27,286.2616,89.4568,3953.9884,7,true,SO43702
45,43703,411,9,,1,20110601,20110608,20110613,3578.27,286.2616,89.4568,3953.9884,7,true,SO43703
46,43704,14004,9,,1,20110601,20110608,20110613,3374.99,269.9992,84.3748,3729.364,7,true,SO43704
47,43705,9020,9,,1,20110601,20110608,20110613,3399.99,271.9992,84.9998,3756.989,7,true,SO43705
48,43706,1693,4,,1,20110602,20110609,20110614,3578.27,286.2616,89.4568,3953.9884,7,true,SO43706
49,43707,1696,4,,1,20110602,20110609,20110614,3578.27,286.2616,89.4568,3953.9884,7,true,SO43707
50,43708,3474,10,,1,20110602,20110609,20110614,699.0982,55.9279,17.4775,772.5036,7,true,SO43708
51,43709,18272,9,,1,20110602,20110609,20110614,3578.27,286.2616,89.4568,3953.9884,7,true,SO43709
52,43710,12478,9,,1,20110602,20110609,20110614,3578.27,286.2616,89.4568,3953.9884,7,true,SO43710
53,43711,3919,1,,1,20110603,20110610,20110615,3578.27,286.2616,89.4568,3953.9884,7,true,SO43711
54,43712,6138,8,,1,20110603,20110610,20110615,3578.27,286.2616,89.4568,3953.9884,7,true,SO43712
55,43713,13608,4,,1,20110604,20110611,20110616,3578.27,286.2616,89.4568,3953.9884,7,true,SO43713
56,43714,372,10,,1,20110604,20110611,20110616,3578.27,286.2616,89.4568,3953.9884,7,true,SO43714
57,43715,7128,9,,1,20110604,20110611,20110616,3578.27,286.2616,89.4568,3953.9884,7,true,SO43715
58,43716,5704,9,,1,20110604,20110611,20110616,3578.27,286.2616,89.4568,3953.9884,7,true,SO43716
59,43717,17467,9,,1,20110604,20110611,20110616,699.0982,55.9279,17.4775,772.5036,7,true,SO43717
60,43718,5210,1,,1,20110605,20110612,20110617,3578.27,286.2616,89.4568,3953.9884,7,true,SO43718
61,43719,6504,4,,1,20110605,20110612,20110617,3578.27,286.2616,89.4568,3953.9884,7,true,SO43719
62,43720,14393,8,,1,20110605,20110612,20110617,3578.27,286.2616,89.4568,3953.9884,7,true,SO43720
63,43721,18126,10,,1,20110605,20110612,20110617,3578.27,286.2616,89.4568,3953.9884,7,true,SO43721
64,43722,1403,10,,1,20110606,20110613,20110618,3578.27,286.2616,89.4568,3953.9884,7,true,SO43722
65,43723,18174,1,,1,20110606,20110613,20110618,699.0982,55.9279,17.4775,772.5036,7,true,SO43723
66,43724,12495,9,,1,20110606,20110613,20110618,3578.27,286.2616,89.4568,3953.9884,7,true,SO43724
67,43725,3786,8,,1,20110607,20110614,20110619,3578.27,286.2616,89.4568,3953.9884,7,true,SO43725
68,43726,6761,4,,1,20110607,20110614,20110619,699.0982,55.9279,17.4775,772.5036,7,true,SO43726
69,43727,5071,9,,1,20110607,20110614,20110619,3578.27,286.2616,89.4568,3953.9884,7,true,SO43727
70,43728,4514,4,,1,20110608,20110615,20110620,3578.27,286.2616,89.4568,3953.9884,7,true,SO43728
71,43729,12113,10,,1,20110608,20110615,20110620,3399.99,271.9992,84.9998,3756.989,7,true,SO43729
72,43730,3218,4,,1,20110608,20110615,20110620,3399.99,271.9992,84.9998,3756.989,7,true,SO43730
73,43731,18960,9,,1,20110608,20110615,20110620,3578.27,286.2616,89.4568,3953.9884,7,true,SO43731
74,43732,1153,9,,1,20110608,20110615,20110620,3374.99,269.9992,84.3748,3729.364,7,true,SO43732
75,43733,3160,1,,1,20110608,20110615,20110620,3578.27,286.2616,89.4568,3953.9884,7,true,SO43733
76,43734,1650,1,,1,20110609,20110616,20110621,3578.27,286.2616,89.4568,3953.9884,7,true,SO43734
77,43735,11110,9,,1,20110609,20110616,20110621,3578.27,286.2616,89.4568,3953.9884,7,true,SO43735
78,43736,16742,9,,1,20110609,20110616,20110621,3399.99,271.9992,84.9998,3756.989,7,true,SO43736
79,43737,648,8,,1,20110610,20110617,20110622,3578.27,286.2616,89.4568,3953.9884,7,true,SO43737
80,43738,12784,7,,1,20110610,20110617,20110622,3578.27,286.2616,89.4568,3953.9884,7,true,SO43738
81,43739,14245,10,,1,20110610,20110617,20110622,3578.27,286.2616,89.4568,3953.9884,7,true,SO43739
82,43740,805,9,,1,20110610,20110617,20110622,3578.27,286.2616,89.4568,3953.9884,7,true,SO43740
83,43741,9671,1,,1,20110611,20110618,20110623,3578.27,286.2616,89.4568,3953.9884,7,true,SO43741
84,43742,8193,10,,1,20110611,20110618,20110623,3578.27,286.2616,89.4568,3953.9884,7,true,SO43742
85,43743,9852,9,,1,20110611,20110618,20110623,3399.99,271.9992,84.9998,3756.989,7,true,SO43743
86,43744,17297,9,,1,20110611,20110618,20110623,3578.27,286.2616,89.4568,3953.9884,7,true,SO43744
87,43745,4134,9,,1,20110612,20110619,20110624,3578.27,286.2616,89.4568,3953.9884,7,true,SO43745
88,43746,8532,9,,1,20110612,20110619,20110624,3578.27,286.2616,89.4568,3953.9884,7,true,SO43746
89,43747,6937,4,,1,20110613,20110620,20110625,3578.27,286.2616,89.4568,3953.9884,7,true,SO43747
90,43748,6802,1,,1,20110613,20110620,20110625,3578.27,286.2616,89.4568,3953.9884,7,true,SO43748
91,43749,10619,1,,1,20110613,20110620,20110625,3578.27,286.2616,89.4568,3953.9884,7,true,SO43749
92,43750,9056,7,,1,20110613,20110620,20110625,3578.27,286.2616,89.4568,3953.9884,7,true,SO43750
93,43751,12457,7,,1,20110613,20110620,20110625,3578.27,286.2616,89.4568,3953.9884,7,true,SO43751
94,43752,67,8,,1,20110613,20110620,20110625,3578.27,286.2616,89.4568,3953.9884,7,true,SO43752
95,43753,790,9,,1,20110613,20110620,20110625,3578.27,286.2616,89.4568,3953.9884,7,true,SO43753
96,43754,11923,1,,1,20110614,20110621,20110626,3578.27,286.2616,89.4568,3953.9884,7,true,SO43754
97,43755,8785,4,,1,20110614,20110621,20110626,3578.27,286.2616,89.4568,3953.9884,7,true,SO43755
98,43756,8504,10,,1,20110614,20110621,20110626,699.0982,55.9279,17.4775,772.5036,7,true,SO43756
99,43757,17241,9,,1,20110614,20110621,20110626,3374.99,269.9992,84.3748,3729.364,7,true,SO43757
100,43758,8434,4,,1,20110615,20110622,20110627,3578.27,286.2616,89.4568,3953.9884,7,true,SO43758
101,43759,2516,8,,1,20110615,20110622,20110627,3578.27,286.2616,89.4568,3953.9884,7,true,SO43759
102,43760,4500,9,,1,20110615,20110622,20110627,3578.27,286.2616,89.4568,3953.9884,7,true,SO43760
103,43761,4089,9,,1,20110615,20110622,20110627,3578.27,286.2616,89.4568,3953.9884,7,true,SO43761
104,43762,2329,4,,1,20110616,20110623,20110628,3578.27,286.2616,89.4568,3953.9884,7,true,SO43762
105,43763,8542,9,,1,20110616,20110623,20110628,3578.27,286.2616,89.4568,3953.9884,7,true,SO43763
106,43764,860,9,,1,20110616,20110623,20110628,3578.27,286.2616,89.4568,3953.9884,7,true,SO43764
107,43765,15891,9,,1,20110616,20110623,20110628,3399.99,271.9992,84.9998,3756.989,7,true,SO43765
108,43766,6550,9,,1,20110617,20110624,20110629,3578.27,286.2616,89.4568,3953.9884,7,true,SO43766
109,43767,6746,9,,1,20110617,20110624,20110629,3374.99,269.9992,84.3748,3729.364,7,true,SO43767
110,43768,920,1,,1,20110618,20110625,20110630,3578.27,286.2616,89.4568,3953.9884,7,true,SO43768
111,43769,7276,6,,1,20110618,20110625,20110630,3578.27,286.2616,89.4568,3953.9884,7,true,SO43769
112,43770,18491,1,,1,20110618,20110625,20110630,3578.27,286.2616,89.4568,3953.9884,7,true,SO43770
113,43771,17367,4,,1,20110618,20110625,20110630,699.0982,55.9279,17.4775,772.5036,7,true,SO43771
114,43772,6740,9,,1,20110618,20110625,20110630,3578.27,286.2616,89.4568,3953.9884,7,true,SO43772
115,43773,11489,9,,1,20110618,20110625,20110630,3578.27,286.2616,89.4568,3953.9884,7,true,SO43773
116,43774,12600,9,,1,20110618,20110625,20110630,3578.27,286.2616,89.4568,3953.9884,7,true,SO43774
117,43775,18870,9,,1,20110618,20110625,20110630,3399.99,271.9992,84.9998,3756.989,7,true,SO43775
118,43776,4244,8,,1,20110619,20110626,20110701,3578.27,286.2616,89.4568,3953.9884,7,true,SO43776
119,43777,14265,9,,1,20110619,20110626,20110701,3578.27,286.2616,89.4568,3953.9884,7,true,SO43777
120,43778,12253,9,,1,20110619,20110626,20110701,3399.99,271.9992,84.9998,3756.989,7,true,SO43778
121,43779,18833,9,,1,20110619,20110626,20110701,699.0982,55.9279,17.4775,772.5036,7,true,SO43779
122,43780,3719,7,,1,20110620,20110627,20110702,3578.27,286.2616,89.4568,3953.9884,7,true,SO43780
123,43781,12788,9,,1,20110620,20110627,20110702,3578.27,286.2616,89.4568,3953.9884,7,true,SO43781
124,43782,15293,9,,1,20110620,20110627,20110702,3578.27,286.2616,89.4568,3953.9884,7,true,SO43782
125,43783,16516,9,,1,20110620,20110627,20110702,3578.27,286.2616,89.4568,3953.9884,7,true,SO43783
126,43784,14363,4,,1,20110621,20110628,20110703,3578.27,286.2616,89.4568,3953.9884,7,true,SO43784
127,43785,12567,7,,1,20110621,20110628,20110703,3578.27,286.2616,89.4568,3953.9884,7,true,SO43785
128,43786,10161,7,,1,20110621,20110628,20110703,3578.27,286.2616,89.4568,3953.9884,7,true,SO43786
129,43787,8116,8,,1,20110621,20110628,20110703,3399.99,271.9992,84.9998,3756.989,7,true,SO43787
130,43788,4861,10,,1,20110621,20110628,20110703,3374.99,269.9992,84.3748,3729.364,7,true,SO43788
131,43789,2023,1,,1,20110621,20110628,20110703,3374.99,269.9992,84.3748,3729.364,7,true,SO43789
132,43790,11647,1,,1,20110621,20110628,20110703,3399.99,271.9992,84.9998,3756.989,7,true,SO43790
133,43791,8119,9,,1,20110621,20110628,20110703,3578.27,286.2616,89.4568,3953.9884,7,true,SO43791
134,43792,8083,9,,1,20110621,20110628,20110703,3578.27,286.2616,89.4568,3953.9884,7,true,SO43792
135,43793,18375,9,,1,20110621,20110628,20110703,3399.99,271.9992,84.9998,3756.989,7,true,SO43793
136,43794,10189,9,,1,20110621,20110628,20110703,3399.99,271.9992,84.9998,3756.989,7,true,SO43794
137,43795,6219,4,,1,20110622,20110629,20110704,3578.27,286.2616,89.4568,3953.9884,7,true,SO43795
138,43796,4941,7,,1,20110622,20110629,20110704,699.0982,55.9279,17.4775,772.5036,7,true,SO43796
139,43797,12738,9,,1,20110622,20110629,20110704,3578.27,286.2616,89.4568,3953.9884,7,true,SO43797
140,43798,15325,9,,1,20110622,20110629,20110704,3578.27,286.2616,89.4568,3953.9884,7,true,SO43798
141,43799,4926,9,,1,20110622,20110629,20110704,3578.27,286.2616,89.4568,3953.9884,7,true,SO43799
142,43800,5014,6,,1,20110623,20110630,20110705,3578.27,286.2616,89.4568,3953.9884,7,true,SO43800
143,43801,1926,10,,1,20110623,20110630,20110705,3578.27,286.2616,89.4568,3953.9884,7,true,SO43801
144,43802,10150,7,,1,20110623,20110630,20110705,3578.27,286.2616,89.4568,3953.9884,7,true,SO43802
145,43803,14467,6,,1,20110624,20110701,20110706,3578.27,286.2616,89.4568,3953.9884,7,true,SO43803
146,43804,10418,10,,1,20110624,20110701,20110706,3578.27,286.2616,89.4568,3953.9884,7,true,SO43804
147,43805,6423,1,,1,20110624,20110701,20110706,699.0982,55.9279,17.4775,772.5036,7,true,SO43805
148,43806,6780,9,,1,20110624,20110701,20110706,3578.27,286.2616,89.4568,3953.9884,7,true,SO43806
149,43807,8591,7,,1,20110625,20110702,20110707,3578.27,286.2616,89.4568,3953.9884,7,true,SO43807
150,43808,4513,8,,1,20110625,20110702,20110707,3578.27,286.2616,89.4568,3953.9884,7,true,SO43808
151,43809,16533,9,,1,20110625,20110702,20110707,3578.27,286.2616,89.4568,3953.9884,7,true,SO43809
152,43810,7483,9,,1,20110625,20110702,20110707,3399.99,271.9992,84.9998,3756.989,7,true,SO43810
153,43811,14215,9,,1,20110625,20110702,20110707,3399.99,271.9992,84.9998,3756.989,7,true,SO43811
154,43812,18913,4,,1,20110626,20110703,20110708,3578.27,286.2616,89.4568,3953.9884,7,true,SO43812
155,43813,16165,7,,1,20110626,20110703,20110708,3374.99,269.9992,84.3748,3729.364,7,true,SO43813
156,43814,11762,1,,1,20110626,20110703,20110708,3374.99,269.9992,84.3748,3729.364,7,true,SO43814
157,43815,15489,9,,1,20110626,20110703,20110708,3578.27,286.2616,89.4568,3953.9884,7,true,SO43815
158,43816,16262,9,,1,20110626,20110703,20110708,3578.27,286.2616,89.4568,3953.9884,7,true,SO43816
159,43817,2559,9,,1,20110626,20110703,20110708,3578.27,286.2616,89.4568,3953.9884,7,true,SO43817
160,43818,4556,9,,1,20110626,20110703,20110708,3578.27,286.2616,89.4568,3953.9884,7,true,SO43818
161,43819,444,9,,1,20110626,20110703,20110708,3399.99,271.9992,84.9998,3756.989,7,true,SO43819
162,43820,10593,4,,1,20110627,20110704,20110709,3578.27,286.2616,89.4568,3953.9884,7,true,SO43820
163,43821,2996,4,,1,20110627,20110704,20110709,3578.27,286.2616,89.4568,3953.9884,7,true,SO43821
164,43822,279,4,,1,20110627,20110704,20110709,3578.27,286.2616,89.4568,3953.9884,7,true,SO43822
165,43823,10832,10,,1,20110627,20110704,20110709,699.0982,55.9279,17.4775,772.5036,7,true,SO43823
166,43824,16797,1,,1,20110627,20110704,20110709,699.0982,55.9279,17.4775,772.5036,7,true,SO43824
167,43825,14230,9,,1,20110627,20110704,20110709,3578.27,286.2616,89.4568,3953.9884,7,true,SO43825
168,43826,17069,9,,1,20110627,20110704,20110709,3374.99,269.9992,84.3748,3729.364,7,true,SO43826
169,43827,17089,9,,1,20110627,20110704,20110709,699.0982,55.9279,17.4775,772.5036,7,true,SO43827
170,43828,9710,1,,1,20110628,20110705,20110710,3578.27,286.2616,89.4568,3953.9884,7,true,SO43828
171,43829,3935,4,,1,20110628,20110705,20110710,3578.27,286.2616,89.4568,3953.9884,7,true,SO43829
172,43830,15186,9,,1,20110628,20110705,20110710,3578.27,286.2616,89.4568,3953.9884,7,true,SO43830
173,43831,7368,9,,1,20110628,20110705,20110710,3374.99,269.9992,84.3748,3729.364,7,true,SO43831
174,43832,3316,10,,1,20110628,20110705,20110710,3578.27,286.2616,89.4568,3953.9884,7,true,SO43832
175,43833,4202,6,,1,20110629,20110706,20110711,3578.27,286.2616,89.4568,3953.9884,7,true,SO43833
176,43834,18957,7,,1,20110629,20110706,20110711,3374.99,269.9992,84.3748,3729.364,7,true,SO43834
177,43835,7216,6,,1,20110629,20110706,20110711,3374.99,269.9992,84.3748,3729.364,7,true,SO43835
178,43836,5407,6,,1,20110629,20110706,20110711,699.0982,55.9279,17.4775,772.5036,7,true,SO43836
179,43837,2286,9,,1,20110629,20110706,20110711,3374.99,269.9992,84.3748,3729.364,7,true,SO43837
180,43838,204,4,,1,20110630,20110707,20110712,3578.27,286.2616,89.4568,3953.9884,7,true,SO43838
181,43839,18534,1,,1,20110630,20110707,20110712,3578.27,286.2616,89.4568,3953.9884,7,true,SO43839
182,43840,18645,7,,1,20110630,20110707,20110712,699.0982,55.9279,17.4775,772.5036,7,true,SO43840
183,43841,7433,8,,1,20110630,20110707,20110712,3578.27,286.2616,89.4568,3953.9884,7,true,SO43841
184,43842,16226,9,,1,20110630,20110707,20110712,3578.27,286.2616,89.4568,3953.9884,7,true,SO43842
185,43843,8658,3,2,5,20110701,20110708,20110713,32940.1556,3174.1988,991.9371,37106.2915,7,false,SO43843
186,43844,2145,6,9,5,20110701,20110708,20110713,20249.94,1943.9942,607.4982,22801.4324,7,false,SO43844
187,43845,7560,5,6,5,20110701,20110708,20110713,8580.0739,823.6669,257.3959,9661.1367,7,false,SO43845
188,43846,1215,6,5,5,20110701,20110708,20110713,919.5201,90.6637,28.3324,1038.5162,7,false,SO43846
189,43847,1145,6,5,5,20110701,20110708,20110713,908.8209,86.9292,27.1654,1022.9155,7,false,SO43847
190,43848,3780,1,10,5,20110701,20110708,20110713,18269.946,1753.9148,548.0984,20571.9592,7,false,SO43848
191,43849,5976,1,1,5,20110701,20110708,20110713,20544.7015,1969.9765,615.6177,23130.2957,7,false,SO43849
192,43850,7920,6,9,5,20110701,20110708,20110713,10183.7952,982.9377,307.168,11473.9009,7,false,SO43850
193,43851,292,2,2,5,20110701,20110708,20110713,6783.7679,651.4975,203.593,7638.8584,7,false,SO43851
194,43852,6583,6,9,5,20110701,20110708,20110713,2024.994,194.3994,60.7498,2280.1432,7,false,SO43852
195,43853,5878,6,9,5,20110701,20110708,20110713,26354.922,2530.0725,790.6477,29675.6422,7,false,SO43853
196,43854,9759,6,9,5,20110701,20110708,20110713,1749.588,167.9604,52.4876,1970.036,7,false,SO43854
197,43855,8304,6,5,5,20110701,20110708,20110713,10993.3516,1058.7224,330.8508,12382.9248,7,false,SO43855
198,43856,3086,6,9,5,20110701,20110708,20110713,2036.394,195.3874,61.0586,2292.84,7,false,SO43856
199,43857,16586,6,9,5,20110701,20110708,20110713,7186.5371,689.052,215.3287,8090.9178,7,false,SO43857
200,43858,8775,2,2,5,20110701,20110708,20110713,13694.3494,1317.0672,411.5835,15423.0001,7,false,SO43858
201,43859,6916,4,3,5,20110701,20110708,20110713,3911.5991,375.2443,117.2639,4404.1073,7,false,SO43859
202,43860,4674,1,7,5,20110701,20110708,20110713,10993.3942,1057.2843,330.4013,12381.0798,7,false,SO43860
203,43861,4081,5,6,5,20110701,20110708,20110713,23401.1062,2244.4088,701.3777,26346.8927,7,false,SO43861
204,43862,8303,5,6,5,20110701,20110708,20110713,31000.7804,2987.8703,933.7095,34922.3602,7,false,SO43862
205,43863,4308,4,4,5,20110701,20110708,20110713,1718.8983,164.9658,51.5518,1935.4159,7,false,SO43863
206,43864,16329,4,3,5,20110701,20110708,20110713,38474.3572,3703.8969,1157.4678,43335.7219,7,false,SO43864
207,43865,17072,4,4,5,20110701,20110708,20110713,13196.0548,1268.2589,396.3309,14860.6446,7,false,SO43865
208,43866,1523,1,7,5,20110701,20110708,20110713,4076.388,391.2268,122.2584,4589.8732,7,false,SO43866
209,43867,1563,1,7,5,20110701,20110708,20110713,32673.0446,3149.2911,984.1535,36806.4892,7,false,SO43867
210,43868,15853,6,9,5,20110701,20110708,20110713,2146.962,206.1084,64.4089,2417.4793,7,false,SO43868
211,43869,16948,1,3,5,20110701,20110708,20110713,49193.9864,4734.607,1479.5647,55408.1581,7,false,SO43869
212,43870,3081,2,2,5,20110701,20110708,20110713,4316.9864,413.6232,129.2572,4859.8668,7,false,SO43870
213,43871,16588,3,8,5,20110701,20110708,20110713,9398.8972,899.949,281.2341,10580.0803,7,false,SO43871
214,43872,16884,4,3,5,20110701,20110708,20110713,11584.459,1110.9858,347.1831,13042.6279,7,false,SO43872
215,43873,3460,4,3,5,20110701,20110708,20110713,41250.4391,3973.725,1241.789,46465.9531,7,false,SO43873
216,43874,1903,3,4,5,20110701,20110708,20110713,419.4589,40.2681,12.5838,472.3108,7,false,SO43874
217,43875,2188,5,6,5,20110701,20110708,20110713,121761.9396,11871.5033,3709.8448,137343.2877,7,false,SO43875
218,43876,16799,2,2,5,20110701,20110708,20110713,7135.2649,686.9474,214.6711,8036.8834,7,false,SO43876
219,43877,7946,1,7,5,20110701,20110708,20110713,20628.5745,1977.1163,617.8489,23223.5397,7,false,SO43877
220,43878,2818,2,2,5,20110701,20110708,20110713,4079.988,391.6788,122.3996,4594.0664,7,false,SO43878
221,43879,313,6,9,5,20110701,20110708,20110713,21718.7639,2087.8858,652.4643,24459.114,7,false,SO43879
222,43880,4903,6,5,5,20110701,20110708,20110713,15479.55,1488.4458,465.1393,17433.1351,7,false,SO43880
223,43881,16952,3,4,5,20110701,20110708,20110713,38816.8056,3725.7234,1164.2885,43706.8175,7,false,SO43881
224,43882,1356,6,9,5,20110701,20110708,20110713,2024.994,194.3994,60.7498,2280.1432,7,false,SO43882
225,43883,3898,2,2,5,20110701,20110708,20110713,18320.6894,1763.0175,550.943,20634.6499,7,false,SO43883
226,43884,6913,3,4,5,20110701,20110708,20110713,115696.3313,11215.3536,3504.798,130416.4829,7,false,SO43884
227,43885,4309,4,3,5,20110701,20110708,20110713,68.4,5.928,1.8525,76.1805,7,false,SO43885
228,43886,3455,6,9,5,20110701,20110708,20110713,17358.0101,1664.9942,520.3107,19543.315,7,false,SO43886
229,43887,91,5,6,5,20110701,20110708,20110713,419.4589,40.2681,12.5838,472.3108,7,false,SO43887
230,43888,5282,6,9,5,20110701,20110708,20110713,14432.8174,1388.4649,433.8953,16255.1776,7,false,SO43888
231,43889,6257,6,5,5,20110701,20110708,20110713,2082.6748,199.3984,62.312,2344.3852,7,false,SO43889
232,43890,510,6,5,5,20110701,20110708,20110713,75191.9599,7234.307,2260.7209,84686.9878,7,false,SO43890
233,43891,5871,6,9,5,20110701,20110708,20110713,32569.104,3126.3148,976.9734,36672.3922,7,false,SO43891
234,43892,3779,4,8,5,20110701,20110708,20110713,16544.5461,1587.1682,495.9901,18627.7044,7,false,SO43892
235,43893,7826,6,9,5,20110701,20110708,20110713,419.4589,40.2681,12.5838,472.3108,7,false,SO43893
236,43894,9797,1,7,5,20110701,20110708,20110713,32492.604,3118.7048,974.5952,36585.904,7,false,SO43894
237,43895,4074,1,7,5,20110701,20110708,20110713,32459.9278,3121.4886,975.4652,36556.8816,7,false,SO43895
238,43896,6919,4,4,5,20110701,20110708,20110713,4345.8268,416.1227,130.0383,4891.9878,7,false,SO43896
239,43897,768,4,3,5,20110701,20110708,20110713,51235.0091,4912.9311,1535.291,57683.2312,7,false,SO43897
240,43898,3462,6,5,5,20110701,20110708,20110713,50948.9161,4908.5808,1533.9315,57391.4284,7,false,SO43898
241,43899,7827,3,4,5,20110701,20110708,20110713,11942.5965,1147.8551,358.7047,13449.1563,7,false,SO43899
242,43900,7525,5,6,5,20110701,20110708,20110713,34628.298,3323.6782,1038.6494,38990.6256,7,false,SO43900
243,43901,7772,4,3,5,20110701,20110708,20110713,22717.5954,2177.0702,680.3344,25575,7,false,SO43901
244,43902,297,5,6,5,20110701,20110708,20110713,52803.4477,5091.7865,1591.1833,59486.4175,7,false,SO43902
245,43903,9171,5,6,5,20110701,20110708,20110713,20.1865,1.6149,0.5047,22.3061,7,false,SO43903
246,43904,16879,4,4,5,20110701,20110708,20110713,11361.2706,1093.5814,341.7442,12796.5962,7,false,SO43904
247,43905,6537,5,6,5,20110701,20110708,20110713,9880.2666,950.9438,297.1699,11128.3803,7,false,SO43905
248,43906,782,4,4,5,20110701,20110708,20110713,32971.323,3162.1366,988.1677,37121.6273,7,false,SO43906
